,epevent,event_name,index,position,position600,ring_type,run,onset,onset0
28,neutralCatch1,ring,432.0,,,neu,3.0,114.22764019994065,46.5
29,neutralCatch1,prep,433.0,,,neu,3.0,115.72764019994065,48.0
30,fix,iti,434.0,,,,3.0,117.22764019994065,49.5
31,neutral426,ring,435.0,0.065,426.0,neu,3.0,118.72764019994065,51.0
32,neutral426,prep,436.0,0.065,426.0,neu,3.0,120.22764019994065,52.5
33,neutral426,dot,437.0,0.065,426.0,neu,3.0,121.72764019994065,54.0
34,fix,iti,438.0,,,,3.0,123.22764019994065,55.5
35,reward633,ring,439.0,0.5825,633.0,rew,3.0,124.72764019994065,57.0
36,reward633,prep,440.0,0.5825,633.0,rew,3.0,126.22764019994065,58.5
37,reward633,dot,441.0,0.5825,633.0,rew,3.0,127.72764019994065,60.0
38,fix,iti,442.0,,,,3.0,129.22764019994065,61.5
39,fix,iti,443.0,,,,3.0,130.72764019994065,63.0
